"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros"
"*0324k*","Pavel Padakin","(N/A)","RW","6038","FA","31","","0","0","0%"
"*00qs3*","Cam Paddock","(N/A)","C","6039","FA","42","","0","0","0%"
"*04rdt*","Max Paddock","(N/A)","G","6040","FA","25","","0","0","0%"
"*003h8*","Nathan Paetsch","(N/A)","D","6041","FA","42","","0","0","0%"
"*03rk4*","Ziyat Paigin","EDM","D","6043","FA","30","","0","0","0%"
"*003h9*","Daniel Paille","(N/A)","LW","6044","FA","41","","0","0","0%"
"*004o8*","Chad Painchaud","(N/A)","LW","6045","FA","39","","0","0","0%"
"*05u34*","Lukas Pajer","(N/A)","RW","6046","FA","22","","0","0","0%"
"*03edw*","Maximilian Pajpach","(N/A)","G","6047","FA","29","","0","0","0%"
"*02g2z*","Iiro Pakarinen","(N/A)","LW,RW","6049","FA","33","","0","0","0%"
"*04r1f*","Eetu Pakkila","(N/A)","LW","6050","FA","25","","0","0","0%"
"*02oz6*","Frank Palazzese","(N/A)","G","6051","FA","32","","0","0","0%"
"*003ia*","Brett Palin","(N/A)","D","6052","FA","41","","0","0","0%"
"*02g1e*","Michael Paliotta","NJD","D","6053","FA","32","","0","0","0%"
"*01u4a*","Jarod Palmer","(N/A)","C","6054","FA","39","","0","0","0%"
"*01mm1*","Joseph Palmer","CHI","G","6055","FA","37","","0","0","0%"
"*003y8*","Nick Palmieri","(N/A)","RW","6056","FA","36","","0","0","0%"
"*03mpt*","Zach Palmquist","(N/A)","D","6057","FA","34","","0","0","0%"
"*04f88*","Antti Palojarvi","(N/A)","D","6060","FA","26","","0","0","0%"
"*03d0o*","Olli Palola","(N/A)","LW,RW","6061","FA","37","","0","0","0%"
"*01cgx*","Aaron Palushaj","(N/A)","RW","6062","FA","35","","0","0","0%"
"*04xmw*","Oula Palve","(N/A)","C","6063","FA","33","","0","0","0%"
"*03a97*","Nathan Pancel","(N/A)","LW","6064","FA","31","","0","0","0%"
"*05ocm*","Jimmy Panos","(N/A)","D","6067","FA","28","","0","0","0%"
"*00qlz*","Konstantin Panov","(N/A)","RW","6068","FA","0","","0","0","0%"
"*00ql8*","Justin Papineau","(N/A)","C","6070","FA","0","","0","0","0%"
"*03ofl*","Jordan Papirny","(N/A)","G","6071","FA","29","","0","0","0%"
"*05oj8*","Zachary Paputsakis","(N/A)","G","6072","FA","23","","0","0","0%"
"*02o75*","Cedric Paquette","(N/A)","C","6073","FA","31","","0","0","0%"
"*042y0*","Christopher Paquette","TBL","C","6074","FA","27","","0","0","0%"
"*01gk1*","Danick Paquette","(N/A)","RW","6075","FA","35","","0","0","0%"
"*04f8z*","Jacob Paquette","NSH","D","6076","FA","26","MTL 2<br/>@NSH 1 F","0","0","0%"
"*01obo*","Philippe Paradis","(N/A)","C","6077","FA","34","","0","0","0%"
"*003ib*","Adam Pardy","(N/A)","D","6079","FA","41","","0","0","0%"
"*015pr*","Francis Pare","(N/A)","C","6081","FA","38","","0","0","0%"
"*0043e*","Ryan Parent","(N/A)","D","6083","FA","38","","0","0","0%"
"*04940*","Rylan Parenteau","VAN","G","6085","FA","28","VGK 3<br/>@VAN 2 F","0","0","0%"
"*003yb*","Jordan Parise","NYR","G","6087","FA","42","","0","0","0%"
"*03mwj*","Thomas Parisi","(N/A)","D","6088","FA","32","","0","0","0%"
"*065g2*","John Parker Jones","(N/A)","D","6090","FA","25","","0","0","0%"
"*048xr*","John Parker","(N/A)","RW","6091","FA","33","","0","0","0%"
